2018-02-28 23:04:24,"RT @HoroscopeOfUSA: September 8, 2014- Marin Čilić of Croatia defeats @keinishikori of Japan in straight sets to win @usopen #FullMoon http…",319525951,United States,FullMoon,Marin Cilic
2018-02-28 23:03:21,"September 8, 2014- Marin Čilić of Croatia defeats @keinishikori of Japan in straight sets to win @usopen #FullMoon https://t.co/9aFrfRcDQZ",874102244,thehoroscopeoftheusa@gmail.com,FullMoon,Marin Cilic
2018-02-28 15:37:41,"RT @Bantibro: #TeamEXO
""Ingvar Kamprad"" ""Marin Cilic"" ""Roger Federer"" . 
In the films today when the daily  crimes, murders, robberies are…",852529896974897161,"Sikar, Rajasthan",TeamEXO,Marin Cilic
2018-02-28 15:37:31,"RT @Eamesh2: @Pontifex #TeamEXO
""Ingvar Kamprad"" ""Marin Cilic"" ""Roger Federer"" . 
In the films today when the daily  crimes, murders, robbe…",852529896974897161,"Sikar, Rajasthan",TeamEXO,Marin Cilic
2018-02-28 03:45:00,#Entérate 🎾  | Rafa Nadal anunció su baja del @AbiertoTelcel  a causa de una lesión sufrida frente a Marin Cilic en… https://t.co/24GvgDGPHN,2493621931,"Acapulco de Juárez, Guerrero",Entérate,Marin Cilic
2018-02-28 03:11:02,"RT @TennisConnected: Here's @cilic_marin #AusOpen @FilaTennis collection and @head_tennis Prestige Racket. 

#FilaTennis Collection: https:…",19362464,"Toronto, Canada",AusOpen,Marin Cilic
2018-02-28 03:11:02,"RT @TennisConnected: Here's @cilic_marin #AusOpen @FilaTennis collection and @head_tennis Prestige Racket. 

#FilaTennis Collection: https:…",19362464,"Toronto, Canada",FilaTennis,Marin Cilic
2018-02-27 13:03:43,"RT @AbiertoTelcel: ¿Nos das tú autógrafo,@cilic_marin 🇭🇷 ?

#AMT2018 #CelebratingTennis https://t.co/F65KfwCu11",810055059862159362,,AMT2018,Marin Cilic
2018-02-27 13:03:43,"RT @AbiertoTelcel: ¿Nos das tú autógrafo,@cilic_marin 🇭🇷 ?

#AMT2018 #CelebratingTennis https://t.co/F65KfwCu11",810055059862159362,,CelebratingTennis,Marin Cilic
2018-02-27 06:26:11,"RT @alexabreo22: Bienvenidos a #Acapulco, capital de los asesinatos, la inseguridad y la violencia en #Mex 

@RafaelNadal
@Venuseswilliams…",410275372,,Acapulco,Marin Cilic
2018-02-27 06:26:11,"RT @alexabreo22: Bienvenidos a #Acapulco, capital de los asesinatos, la inseguridad y la violencia en #Mex 

@RafaelNadal
@Venuseswilliams…",410275372,,Mex,Marin Cilic
